"","x"
"3121","Turcul plăteşte!"
"3122","Turcul te bate, turcul te judecă."
"3123","Ţara moare de tătari, Sdroanţa pune lăutari."
"3124","Vinovatul plăteşe dinţii turcului."
"3125","Vodă da, Hâncu ba."
"3126","Vodă vrea şi Hâncu ba."
"3127","Bine sau rău, dar e pe locul tău."
"3128","Cine caută spre străin, înstrăinat va rămâne."
"3129","E mai bine în coliba ta decât în palatul altuia."
"3130","Mai bine în satul tău cu mălaiul cât de rău."
"3131","Mai bună hula din satul tău, decât lauda din satul străin."
"3132","Pe duşmanii ţării tale să-i socoţi ca pe ai tăi."
"3133","Prin străini să fie miere şi zahăr, că tot e amar."
"3134","Ca să ne bucurăm de libertate, trebuie să ştim să ne supunem legilor."
"3135","Câte bordeie, atâtea obiceie."
"3136","Cea mai bună judecată e împăcăciunea."
"3137","Cel ce plânge înaintea judecătorului îşi pierde lacrimile."
"3138","Cerul, pământul, focul şi apa n-au judecată."
"3139","Chiar omul cu judecată greşeşte câteodată."
"3140","Cine fuge de judecată, dreptate nu are."
"3141","Cine se judecă adesea, ori pierde un bou, ori câştigă o pisică."
"3142","Cine umblă după judecată, să nu crezi că moare la el acasă."
"3143","Dacă n-ai treabă, fă-te martor."
"3144","Dă-i cu judecata, nu cu lopata."
"3145","De atunci se-nmulţesc lotrii de când se-nmulţesc şi legile."
"3146","Decât o judecată dreaptă, mai bine o învoială strâmbă."
"3147","Din judecată-n judecată, a rămas fără o postată."
"3148","El judecă, el spânzură."
"3149","Întâi judecă-te pe tine şi apoi judecă pe altul."
"3150","Îţi judecă pe dracul şi ţi-l scoate şi dator."
"3151","Judecata-i cu nasul de ceară."
"3152","Judecata e ca o trăsură cu două oişti — când înainte, când înapoi o poţi mâna."
"3153","Judecata nu o poţi face cu lopata."
"3154","Judecătorul când îţi e potrivnic, cu cine o să te judeci?"
"3155","Judecătorii mănâncă miezul şi împricinaţii coaja nucii."
"3156","Judecătorul ca osia carului: cum o ungi, nu mai scârţâie."
"3157","Judecătorul e ca şarpele, niciodată nu umblă drept."
"3158","Judecăţile ştii când le porneşti, dar nu şi când le opreşti."
"3159","Legea — ca pânza de păianjen: tăunul o sparge, iar musca se prinde."
"3160","Nu judeca după cuvinte, judecă după fapte."
"3161","Nu se judecă omul de la prima vedere."
"3162","Nu te vârî în judecăţi."
"3163","Obiceiul slujeşte ca lege."
"3164","O să mă judec până-n pânzele albe."
"3165","Să n-ajungi pe uşa tribunalului."
"3166","Uită-te în faţă şi judecă-i viaţa."
"3167","Uşor te-ncurci într-o judecată, dar greu scapi de ea."
"3168","Ai dreptate, însă n-ai s-o iei."
"3169","Ai dreptate, numai nu ţi-o cauţi."
"3170","Cel ce iubeşte nedreptatea, urăşte sufletul său."
"3171","Cine nu are dreptate, acela ţipă mai tare."
"3172","Dreptatea n-are nevoie de laudă."
"3173","Dreptatea nu moare niciodată."
"3174","Dreptatea pe toate le biruieşte şi adevărul decât toate mai tare este."
"3175","Dreptatea trebuie să ţi-o faci singur."
"3176","Mai bine puţin cu dreptate decât mult cu strâmbătate."
"3177","Nedreptatea răstoarnă scaunele puternicilor."
"3178","Adevăru-i mai luminos decât soarele."
"3179","Adevărul când cercetezi, părtinirea s-o îndepărtezi."
"3180","Adevărul de minciună se desparte, că nu-i place în spate s-o poarte."
"3181","Adevărul e dulce ca mierea, iar neadevărul e amar ca pelinul."
"3182","Adevărul e mai bun decât orice jurământ."
"3183","Adevărul e mai scump decât aurul."
"3184","Adevărul este cum te văd şi cum mă vezi."
"3185","Adevărul e urma dreptăţii."
"3186","Adevărul n-are nevoie de judecată."
"3187","Adevărul nu-şi schimbă faţa niciodată."
"3188","Adevăru-l ştie satul, dar nu-l ştie împăratul!"
"3189","Adevărul umblă cu capu' spart."
"3190","Atâtea drumuri a bătut după adevăr, că n-are pe cap atâtea fire de păr."
"3191","Cel mai drept pe lume este adevărul."
"3192","Cu cât adevărul e mai amar, cu atât e mai dulce."
"3193","Adesea, una adăstăm şi alta întâmpinăm."
"3194","Albă, neagră — asta e!"
"3195","Carnea fără ciolan nu se poate."
"3196","Când te găseşte una, te găsesc mai multe."
"3197","Câte capete, atâtea păreri."
"3198","Ce-i prea mult, nu-i sănătos."
"3199","Cine nu suie dealul, nu coboară coastele."
"3200","Cu binele se face totul, însă cu de-a sila — nimic."
"3201","Dacă nu curge, tot pică."
"3202","La joc foc, la lucru ioc."
"3203","Decât un înţelept mort, mai bine un măgar viu."
"3204","Lucrul bun nu se face iute."
"3205","De unde nu-i, de acolo nu se varsă."
"3206","Este şi viaţă, este şi moarte."
"3207","Face albul negru şi negrul alb."
"3208","Firea, decât deprinderea, mai veche este."
"3209","Începutu-i anevoie; urma vine de la sine."
"3210","În dar a venit, în dar s-a dus."
"3211","La tot răul este şi un bine."
"3212","La vale lesne aluneci, iar în sus anevoie te urci."
"3213","Mai bine ceva decât nimic."
"3214","Mai bine să întreacă decât să nu ajungă."
"3215","Nădejdea este mângâierea oamenilor."
"3216","Nenorocirea, când vine pe capul omului, nu vine singură, ci mai trage şi altele după ea."
"3217","Nici carnea cu oase, nici frigarea arsă."
"3218","Nici carne fără oase, nici pădure fără uscături."
"3219","Nici călare, nici pe jos."
"3220","Nici în car, nici în căruţă."
"3221","Nici laie, nici bălaie."
"3222","Nici ploaia nu îl udă, nici focul nu îl arde."
"3223","Nici în ciur, nici în veşcă."
"3224","Nici hăisa, nici cială."
"3225","Omul azi este, mâine nu-i."
"3226","Nimeni nu poate şti cât e de adâncă borta şarpelui."
"3227","Nimeni nu ştie ce-i în sacul legat."
"3228","Nu-i deal fără vale."
"3229","Nu-i rău fără bine."
"3230","Nu-i suiş fără coborâş."
"3231","Nu-i totdeauna cum se chiteşte, ci cum se nimereşte."
"3232","Omul are multe valuri în viaţă."
"3233","Omul, cât are zile, nu se pierde."
"3234","Omul nu trăieşte cât lumea."
"3235","Ori la unul, ori la o sută, tot o lumânare luminează."
"3236","Unul trage să moară şi altul joacă, se-nsoară."
"3237","Unde e aţa mai subţire, acolo se rupe."
"3238","Pe lângă cele uscate ard şi cele verzi."
"3239","Piatra care nu se mişcă prinde muşchi."
"3240","Răul vine iute, binele încet."
"3241","Scrie pe lumânare pentru neuitare."
"3242","Sub piatra cea mai frumoasă, scorpia ascunsă zace."
"3243","Şezi strâmb şi grăieşte drept."
"3244","Şi răul câteodată prinde bine la ceva."
"3245","Te lasă una şi te găsesc altele zece."
"3246","Toată greşeala are iertarea ei."
"3247","Toate îşi au leacul."
"3248","Toate îşi au vremea lor."
"3249","Tot ce e prea mult nu e sănătos."
"3250","Tot începutul are şi sfârşit."
"3251","Tot vine şi cel ce întârzie."
"3252","Totu-i nou şi totu-i vechi."
"3253","Ţărână eşti şi în ţărână te vei întoarce."
"3254","Unde a fost, are să mai fie."
"3255","Unde e calabalâc, e şi bucluc."
"3256","Vorba-i de argint, tăcerea-i de aur."
"3257","Vor veni bătrâneţile să-l întrebe unde sunt tinereţile."
"3258","Vremea vremuieşte şi omul îmbătrâneşte."
"3259","A brodit-o ca ţiganul miercurea la stână."
"3260","A nimerit ca ţiganul la împărat."
"3261","Arapul de n-ar vedea pe tatăl său şi pe moşu-său negru, s-ar omorî."
"3262","Crapă pietrele de frig şi ţiganii în ilic."
"3263","Cum e ţiganul, aşa şi ciocanul."
"3264","Dumnezeu să te ferească de român ciocoit şi de ţigan boierit."
"3265","Dumnezeu să te păzească de ţiganul turcit şi de mojicul grecit."
"3266","Munţii noştri aur poartă, noi cerşim din poartă-n poartă."
"3267","Munţii noştri cu aur plini şi noi slugi pe la străini."
"3268","Nu da obraz lui Ivan, că se suie pe divan."
"3269","O dată au vrut ovreii să plece la seceră şi s-a întâmplat să fie sâmbătă."
"3270","Parcă eşti turc."
"3271","Parcă se bat turcii la gura lui."
"3272","Românul e tăcut, dar e de temut."
"3273","Românul nu piere."
"3274","Românul ştie multe-a suferi, dar nu uită."
"3275","Românul tace şi face."
"3276","Stai cu ţiganul, înveţi ţigăneşte, cu turcul turceşte, cu neamţul nemţeşte."
"3277","Tot ţiganul îşi laudă ciocanul, dar eu barosul meu, că e mai greu."
"3278","Tot ţiganul îşi laudă ciocanul şi ţiganca nicovala."
"3279","Ţiganul a cerut şi el la popă un sfânt ca să-l poată prăznui."
"3280","Ţiganul cântă de foame."
"3281","Ţiganul dă cu ciocanul şi capătă banul."
"3282","Ţiganul mănâncă atunci când are, românul când îi e foame."
"3283","Unguru-i lăudăros, numai că-i fricos."
"3284","Abia am scăpat de coasă şi ne-a pus la seceră."
"3285","Ac şi aţă, c-a venit zapciul în sat!"
"3286","Argat vrednic cine are, se cunoaşte pe mâncare; când mănâncă, îi trosnesc fălcile."
"3287","Capul plecat sabia nu-l ia, dar nici soarele nu vede."
"3288","Când bogatul vorbeşte, lumea amuţeşte."
"3289","Câte slugi ai, atâţia duşmani hrăneşti."
"3290","Cei mici muncesc pentru cei mari şi cei săraci pentru cei bogaţi."
"3291","Cine caută stăpân, devine slugă."
"3292","Cine e mare, e şi tare, cine e mic, tot nimic."
"3293","Cine-i slugă, nu-i domn."
"3294","Ciocoiul e ca un câine de multe uşi."
"3295","Ciocoiul este ca răchita, de ce-l tai, de ce răsare."
"3296","Cum e boierul, şi sluga."
"3297","Decât catană-n şirag, mai bine-n codru pribeag."
"3298","Decât slugă de trei lei, mai bine stăpân de-un ban."
"3299","Decât slugă la ciocoi, mai bine cioban la oi."
"3300","Decât slugă mare, mai bine stăpân mic."
"3301","Decât stăpân calic, mai bine slugă bogată."
"3302","Făgăduinţa domnilor, nădejdea nebunilor."
"3303","Ferice de cel ce nu deschide uşa domnilor."
"3304","Glasul norodului este cea mai mare putere."
"3305","Hoţii nu sunt azi prin păduri, sunt prin cancelarii."
"3306","I-a pus jugul după cap."
"3307","În casa bogatului intri lesne, dar ieşi anevoie."
"3308","În urma dijmaşilor multe bârfesc babele."
"3309","Jugul când ţi l-ai pus de gât, trebuie să suferi."
"3310","La domn n-ai ce căuta cu mâna goală."
"3311","Mă duc să-mi caut stăpân; dă, Doamne, să nu găsesc!"
"3312","Nu e stăpân fără stăpân."
"3313","Nu te încrede în ciocoi."
"3314","Poţi să-i dai calicului toată săptămâna, dar dacă nu-i dai sâmbăta, tot zice că nu i-ai dat."
"3315","Să ştii de sâmbăta unde va fi duminica joc."
"3316","Mirele nu se plânge niciodată că mireasa este prea frumoasă."
"3317","Nici gunoiul să nu-l dai afară lunea, că se împrăştie găinile."
"3318","Luni de faci leşie, n-ai smântână."
"3319","Să vii la noi când Paştele va fi joi."
"3320","Cine se naşte joi e cu noroc şi e neguţător de boi."
"3321","Vinerea cine posteşte, e tare de ajutor pentru orice îşi pune în gând."
"3322","Nu-i toată ziua duminică."
"3323","Târgul se face cu bani şi nunta cu lăutari."
"3324","La nuntă mai mulţi oameni muncesc, numai mirii folosesc."
"3325","A juca la două nunţi nu se poate."
"3326","Cât ţine nunta, slugile sunt scutite de bătaie."
"3327","Tunetul în septembrie vesteşte neauă multă în Faur şi an mănos."
"3328","Nu poţi sluji la doi stăpâni deodată."
"3329","A dat peste calul boierului."
"3330","Pe lanul cuconului primeşti vârca bastonului."
"3331","Plouă cu bulbuci — hodină la slugi."
"3332","Satul mic îl ajunge podvoada des."
"3333","Sărac e cine munceşte şi bogat cine jupuieşte."
"3334","Schimbarea domnitorilor, bucuria nebunilor."
"3335","Se bat cei mari şi rabdă cei mici."
"3336","Sluga bună nu duce lipsă de stăpân."
"3337","Sluga nevrednică stăpânii des îşi schimbă."
"3338","Slugă veche, mascara bătrână."
"3339","Solului nu i se taie capul."
"3340","Stăpân nu poţi ajunge, dar slugă totdeauna."
"3341","Şi piperu' e negru, dar mănâncă vodă cu el la masă."
"3342","Un bogat când moare, săracul fluieră."
"3343","Vai de cel ce arată minte, când la temniţă îl trimite."
"3344","Vechilul e ca omida: pe ce se pune, tot istoveşte."
"3345","E îmbrăcat ca broasca în păr."
"3346","Nu are nici sare de mămăligă."
"3347","Nu are niciun ban la suflet."
"3348","Prăjeşte urzicile cu zeama mămăligii."
"3349","A rămas cu aţa mămăligii."
"3350","A fi sărac nu e ruşine, ci a fi necinstit."
"3351","Nu are cu ce-şi stropi măseaua."
"3352","Ar mânca şi omăt fript."
"3353","A rămas cu traista-n băţ."
"3354","Are o potcoavă şi-i mai trebuie trei şi calul."
"3355","Suflă în fundul oalei."
"3356","Stă cu dinţii la stele."
"3357","Boala şi sărăcia nu le poţi ascunde."
"3358","Bogatul se scarpină şi săracul crede că se caută să-i dea."
"3359","Bucătăreasa săracului e nevasta."
"3360","Casa săracul o are, tot ca melcul, în spinare."
"3361","Când mălai are, n-are sare, când sare are, mălai n-are."
"3362","Când n-are cu ce săracul, răbdarea îi este leacul."
"3363","Când se însoară săracul, noaptea-i mai mititică."
"3364","Ce folos de cuşmă lungă, dacă nu-s parale-n pungă?"
"3365","Cu o fâşie, tot n-avem moşie."
"3366","Dacă n-ai, din umeri dai."
"3367","De coate goale şi de maţe flămânde nimeni nu se vaită."
"3368","Din casa lui n-o să mai iasă popa cu fărâmituri în barbă."
"3369","În casa săracului nu se nasc şoarecii."
"3370","La cel nevoiaş stă bruma pân' la Ispas."
"3371","La cel sărac nici luleaua nu arde."
"3372","La cel sărac nu se ţine banul."
"3373","La cel sărac şi câinii parcă bat mai tare."
"3374","La cel sărac şi mâţa-i chioară."
"3375","La cel sărac şi noaptea-i mică."
"3376","Lacrimile săracilor nici soarele, nici vântul nu le poate usca."
"3377","La omul sărac toate nevoile trag."
"3378","La rău, sărmanul aleargă cu poşta, iar la bine, merge cu carul."
"3379","La uşa săracului nu vine niciun câine."
"3380","Lăcaşul săracului foc şi viaţa pară de foc este."
"3381","Mai bine sărac curat decât negustor încurcat."
"3382","Năpasta cade tot pe omul sărac."
"3383","Nici cerul cerc de bute, nici mojicul om de frunte."
"3384","Nu este sărac acela ce nu are bani, dar acel ce nu are minte."
"3385","Numai cu vitele se scoate sărăcia din casă."
"3386","Omul sărac atunci face Paştele: când îmbracă cămaşă nouă."
"3387","Omului sărac nici boii la jug nu-i trag, nici lemnele în foc nu-i ard."
"3388","Oropsiţilor nu le arde de glume."
"3389","Pe cel sărac nici somnul nu-l prinde de gânduri şi de voie proastă."
"3390","Peste cel sărac toate năpastele dau."
"3391","Să fii cât de sărac numai să ai bani mulţi."
"3392","Sărac la sărac aleargă."
"3393","Sărac nu-i acel care munceşte, dar cel care risipeşte."
"3394","Săracul când capătă, atunci mănâncă."
"3395","Săracul, cât de sărac, dac-a prins un comănac, scoate coarne ca de drac."
"3396","Săracul cu gândul se îmbogăţeşte."
"3397","Săracul cumpără mai scump."
"3398","Săracul dobândit se mira ce l-a găsit."
"3399","Săracul n-are nici haină, nici la inimă vreo taină."
"3400","Săracul n-are soare, nici zile de sărbătoare, numai zile lucrătoare."
"3401","Săracul niciodată nu mănâncă să se sature."
"3402","Săracul nu se teme de tâlhari."
"3403","Săracului nu-i trebuie pungă."
"3404","Sărăcia află meşteşuguri."
"3405","Sărăcia când ţi-e-n vatră e ca o stană de piatră."
"3406","Sărăcia este de nouăzeci şi nouă de feluri."
"3407","Sărăcia învaţă pe om."
"3408","Sărăcia învaţă pe om ca să fie econom."
"3409","Sărăcia nu-i ruşine."
"3410","Sărăcia nu-ţi iese din casă nici până te îmbraci."
"3411","Sărăcia stă în coşniţa pescarului şi în tolba vânătorului."
"3412","Sărăcia unde s-a-ncuibat, anevoie de scăpat."
"3413","Sărmanul fără nădejde e ca o candelă fără untdelemn."
"3414","Suspinul săracilor nu rămâne în deşert, măcar cât de târziu."
"3415","Traista goală te omoară."
"3416","Unde e sărăcie, e şi sfadă."
"3417","Viaţa săracului e legată cu aţă."
"3418","Vorba de om sărac nimeni n-o ascultă, fie cât de scumpă."
"3419","E ca floarea între urzici."
"3420","E chiabur cu trei cămăşi."
"3421","E crescut în divan de puf."
"3422","E dobă de bani."
"3423","E gros la pungă."
"3424","E plin de bani, ca râpa de bolovani."
"3425","Măsoară banii cu dimerlia."
"3426","E aşa bogat de râneşte banii cu lopata."
"3427","Bogatul cât trăieşte, niciodată nu se mulţumeşte."
"3428","E aşa bogat de se culcă pe bani."
"3429","A slăbit ""săracul"", că nu-l încape cămaşa."
"3430","Averea bogatului — mâinile satului."
"3431","Bogatului i se arată multe rude."
"3432","Bogaţii stau la masă numai cu linguşitorii."
"3433","Bogăţia aţâţă poftele hoţilor."
"3434","Bogăţia strică pe omul slab."
"3435","Bogăţiile trec, dar faptele bune rămân."
"3436","Boieria şi prostia cu mare cheltuială se ţin."
"3437","Cel bogat doarme şi noaptea cu banii-n pat."
"3438","Celui bogat şi dracul îi leagănă copiii."
"3439","Cine a avut, o să mai aibă."
"3440","De la masa bogatului te scoli flămând."
"3441","De la masa boierească scapi cu fuga pe fereastră."
"3442","Fereşte-te de boierii noi şi de fetele bătrâne."
"3443","Greşeala bogatului o astupă punga, da' greşeala doctorului o astupă pământul."
"3444","La cel bogat merge şi dracul cu colaci."
"3445","Lacom la bogăţie şi sărac la minte."
"3446","Nu dă bogatul, ci dă vinovatul."
"3447","Numai lapte de pasăre îi lipseşte."
"3448","Omul cel bogat e mai lăudat."
"3449","Ori ploaia să-şi verse apa în mare, ori să-i dai bogatului mâncare."
"3450","Prin gardul bogatului nu bate nici vântul."
"3451","Punga boierească n-are fund."
"3452","Trăieşte de nu-şi încape în piele."
"3453","Arde lumânarea săracului ca să scotocească banii bogatului."
"3454","Are cal, n-are livadă; are livadă, n-are cal."
"3455","Averea bogatului mănâncă bucăţica săracului."
"3456","Averea-i gard de nuiele, sărăcia-i zid de piatră."
"3457","Bogatul greşeşte şi săracul cere iertare."
"3458","Bogatul mănâncă atunci când voieşte şi săracul când găseşte."
"3459","Bogatul nu crede nevoile săracului."
"3460","Bogatul nu crede niciodată celui sărac, nici sătulul celui flămând."
"3461","Bogatul se plânge mai rău decât săracul."
"3462","Bogatul trăieşte cu averea, săracul cu nădejdea."
"3463","Boieria-i cu bani, sărăcia-i pe degeaba."
"3464","Boierii se bat, da' penele sar de pe cei săraci."
"3465","Boierul cât de sărac, tot îşi odihneşte bucatele după masă."
"3466","Boierul păzeşte pe ţăran să nu îmbogăţească şi să nu mai înmulţească de la o vacă şi doi boi."
"3467","Cel bogat face cum vrea, cel sărac — cum poate."
"3468","Cel încălţat cu papuci nu-l cunoaşte pe cel cu opinci."
"3469","Cine schimbă stăpânii, slugă îmbătrâneşte."
"3470","Dacă ţăranii nu i-ar hrăni, boierii ar mânca bani."
"3471","Decât la boier după câştig, mai bine cu maţul cârlig."
"3472","Fudulia intră-n casă, sărăcia-i după uşă."
"3473","Greu e să te ţii cu cei mari, rău e şi cu mojicii să fii."
"3474","Greu îi e săracului a trăi şi bogatului a muri."
"3475","Nemulţumitului i se ia darul."
"3476","Darul orbeşte şi pe acela cu patru ochi."
"3477","Pasărea-n aer, cârtiţa-n pământ şi leneşul în rugină trăieşte."
"3478","Omul inimos e ca un pom frumos."
"3479","Dragostea nu se vinde la kilogram."
"3480","Numai cu vorba nu se face ciorba."
"3481","Omul care este harnic totdeauna are praznic."
"3482","Oricâtă apă bea un peşte, toată o scoate pe urechi."
"3483","Osul gol nici câinii nu-l rod."
"3484","Pasărea în cuibul său nu piere."
"3485","Pasărea se prinde cu grăunţe, omul cu minciunile."
"3486","Pasărea vicleană dă singură în laţ."
"3487","Pasărea se cunoaşte după cântec, şi omul după vorbă."
"3488","Păduchele leşinat mai tare pişcă."
"3489","Păsările fripte nu se găsesc în parii gardului."
"3490","La cel bogat şi dracul cară, iar la cel sărac nici boii nu ară."
"3491","Mai bine sărac şi curat, decât bogat şi pătat."
"3492","Mai bine săraci cu fruntea înălţată, decât bogăţia cu înjosire câştigată."
"3493","Mai bine să trăieşti în sărăcie, decât să fii bogat din hoţie."
"3494","Mai bine ţăran în picioare decât boier în genunchi."
"3495","Mai bine un ţăran viu, decât un împărat mort."
"3496","Nevoia frânge fierul."
"3497","Nevoia intră şi prin urechea acului."
"3498","Pielea boierului nu se întinde pe gard ca a săracului."
"3499","Săracul numără averea bogatului."
"3500","Răzeş c-un sac de hârtie c-un petic de moşie."
"3501","Săracul ţine vaca, dar boierul o mulge."
"3502","Sărăcia strică domnia."
"3503","Şi nenorocirea e câteodată bună."
"3504","Ţăranu-i gât de găină, iar boierul picior."
"3505","Ţăranul paşte vaca şi arendaşul o mulge."
"3506","Unde stăpânul e tare, şi ţăranul e fudul."
"3507","Un stăpân avut când are, la mai mulţi dă de mâncare."
"3508","Vai de boierul ce se roagă mojicului."
"3509","Corbul niciodată nu aduce veste bună."
"3510","De ce te temi, de aceea nu scapi."
"3511","Are noroc câtă frunză şi iarbă."
"3512","A dormit, însă norocul nu i-a dormit."
"3513","E om cu norocul în spate."
"3514","Îi curge norocul gârlă."
"3515","Mănâncă norocul cu lingura."
"3516","A pus piciorul în pragul soartei."
"3517","Stă călare pe noroc."
"3518","Aşa i-a fost zodia."
"3519","Caută norocul înaintea mrejei."
"3520","Când ai bani, ai şi noroc."
"3521","Când îi merge omului, îi merge în toate."
"3522","Când norocu-şi schimbă pasul, n-aduce anul cât aduce ceasul."
"3523","Cine noroc are, pune-n piatră şi răsare."
"3524","Cine are noroc, seamănă şi pietre şi creşte, dar cine n-are noroc — nici busuioc nu răsare."
"3525","Cine-i cu noroc, e şi cu minte."
"3526","Cine n-are noroc — să-l caute."
"3527","Cui i se croieşte rău, rău îi merge."
"3528","Cum ţi-i partea şi norocul, aşa şi-i pe lume locul."
"3529","Dac-ai şti unde-ai cădea, măcar paie ţi-ai aşterne."
"3530","Dacă n-ai noroc şi parte, degeaba te scoli de noapte."
"3531","Dacă nu-i cap, nu-i noroc."
"3532","Dacă nu-ţi merge de dimineaţă, să ştii că nu-ţi merge ziua întreagă."
"3533","Dacă are omul noroc, măcar să semene şi cărbuni şi tot se face."
"3534","Decât un car de minte, mai bine un dram de noroc."
"3535","Fă-mă, mamă, cu noroc şi m-azvârle apoi şi-n foc."
"3536","Fiecare cu norocul lui trăieşte."
"3537","Fugi de noroc, dar el după tine."
"3538","I-a ieşit iepurele înainte."
"3539","Îl ţine norocul de păr."
"3540","La casa cu noroc fierbe oala fără foc."
"3541","Mintea e bună dacă e soră şi cu norocul."
"3542","N-a pierdut nimeni norocul, să-l găsesc eu."
"3543","Nici nu ştii unde te aşteaptă norocul."
"3544","Nici nu-ţi trebuie să fii frumos, când eşti norocos."
"3545","Norocu-i ca o scară: unul când se suie, altul se coboară."
"3546","Norocul calcă în urma minţii."
"3547","Norocul e schimbător: când nu ştii să-l ţii, el te lasă."
"3548","Norocul nu fuge după om, ci omul după noroc."
"3549","Cine nu deschide ochii, deschide punga."
"3550","Banii nu se culeg de la trunchi ca surcelele."
"3551","Ochiul omului e rupt din mare."
"3552","E spornic ca sarea."
"3553","La joc e ca focul, la lucru ca butucul."
"3554","Gura aduce ura."
"3555","Niciun zugrav mai bun ca oglinda."
"3556","Cine se tot teme, nimica nu face."
"3557","E stup de bani."
"3558","Cu capul nu spargi zidul."
"3559","Omul face banii, nu banii pe om."
"3560","Omul prost crede tot."
"3561","Nu-i frumos ce-i frumos, da-i frumos ce-mi place mie."
"3562","Minciunile una pe alta se ajung."
"3563","Cu ciocanul se face banul."
"3564","Omul fudul face toate numai de ochii lumii."
"3565","Omul de omenie crede omului de omenie."
"3566","Lauda mincinosului, bucuria nebunului."
"3567","Obiceiul legii are putere."
"3568","Nu-i cu barda, ci-i cu judecata."
"3569","Norocul nu împarte cu oborocul, ci unora varsă, iar altora nici pică."
"3570","Norocul nu stă în drum."
"3571","Norocul ocoleşte locul unde-i sfadă şi batjocură."
"3572","Numai de noroc să nu te plângi."
"3573","Nu sta, că-ţi stă norocul."
"3574","Nu va scăpa omul de ce e ursit să păţească."
"3575","Om frumos fără ponos nu se poate."
"3576","Omul cât trăieşte de noroc se plânge."
"3577","E plin de noroc ca oaia de cornuţi."
"3578","Vai de omul fără noroc!"
"3579","Unde-i tot la loc, este şi noroc."
"3580","Unde intră cearta-n casă, de acolo norocul iasă."
"3581","Şade, dar norocul îi creşte."
"3582","Ce-i drept, nu-i păcat."
"3583","Păcatul intră râzând şi iese plângând."
"3584","Păcatul mărturisit este pe jumătate iertat."
"3585","Păcatul vechi aduce ruşine nouă."
"3586","Baba Dochia îşi scutură cojoacele."
"3587","Zorilă până se scoală, se duce zeama din oală."
"3588","Trăieşte ca în sânul lui Avraam."
"3589","Parcă eşti de pe vremea lui Noe."
"3590","Când îi dă Dumnezeu, nici dracul n-are ce-i face."
"3591","A vorbit într-un ceas rău că l-a lăsat Dumnezeu."
"3592","Berzei oarbe îi face Dumnezeu cuib."
"3593","Când Dumnezeu nu-i acasă, sfinţii îşi fac de cap."
"3594","Când te bate Dumnezeu, nu te mai poate milui nimeni."
"3595","Ce-i drept, şi lui Dumnezeu Îi place."
"3596","Cine e bun, place şi lui Dumnezeu."
"3597","Cine nu îşi vrea binele, să nu i-l dea Domnul."
"3598","Dacă Dumnezeu ar fi dat porcului coarne, răsturna pământul."
"3599","Dă-mi, Doamne, puterea tânărului şi mintea bătrânului."
"3600","De nu ştii ca Hristos, batâr ca Sfântul Petru!"
"3601","De unde nu-i, nici Dumnezeu nu are ce lua."
"3602","Dumnezeu dă, dar nu aduce acasă."
"3603","Dumnezeu dă, Dumnezeu ia."
"3604","Dumnezeu dă omului, dar în traistă nu-i bagă."
"3605","Dumnezeu dă tot la cel ce are mai mult."
"3606","Dumnezeu nu răsplăteşte ca duşmanul, ci goneşte cu anul."
"3607","Dumnezeu te fereşte până te nimereşte."
"3608","Fiecare pentru sine, Dumnezeu pentru toţi."
"3609","I-a pus Dumnezeu mâna în cap."
"3610","Iartă-l, Doamne, că nu ştie ce face."
"3611","Mărul cel creţesc e dumnezeiesc."
"3612","Mare e Dumnezeu, dar meşter e şi dracul."
"3613","N-a apucat să-i iasă sufletul şi-i dă cu ""Dumnezeu să-l ierte!""."
"3614","Nimene n-a dat zapis cu Dumnezeu cât o să trăiască."
"3615","Nu-i cum gândeşte omul, ci cum vrea Domnul."
"3616","Nu-mi da, Doamne, cât pot răbda."
"3617","Până s-ajungi la Dumnezeu, mii de sfinţi în drumul tău, toţi cu mâna-ntinsă ceu (cer)."
"3618","Şi câinii mănâncă din fărâmiturile ce cad de la masa Domnului."
"3619","Ştie Dumnezeu al cui e sacul cu făină şi podul cu slănină."
"3620","Un Dumnezeu dă şi zece iau."
"3621","Nu ştie la ce sfânt să se închine."
"3622","Cine este sfânt, pe aşternut moale nu doarme."
"3623","Se închină la toate icoanele."
"3624","Cine se duce să se roage sfântului, să-i ducă lumânare şi tămâie."
"3625","Cum e sfântul, aşa-i şi tămâia."
"3626","Fiecare sfânt trage cu mâna către el."
"3627","Fiecare sfânt vrea o lumânare."
"3628","La Drăgăşani şi sfinţii sunt cu nasurile roşii."
"3629","Mai ştie sfântul şi de frică."
"3630","Nu foarfecele bune fac croiala dreaptă şi nu te ruga sfântului care nu te ascultă."
"3631","Nu te închina până nu ştii cine-i sfântul."
"3632","Nu te ruga de sfântul care nu-ţi ajută."
"3633","Nu toţi sfinţi-s deopotrivă."
"3634","Parcă-i bătut de toţi sfinţii."
"3635","Pe faţă sfinţi, pe ascuns draci cumpliţi."
"3636","Şi sfântul ca să-ţi ajute trebuie să-i aprinzi candelă."
"3637","Şi Sfântul Petru vămuieşte cu aur la porţile raiului."
"3638","Voieşte să dezbrace un sfânt şi să îmbrace pe altul."
"3639","Din înger curat se face drac întunecat."
"3640","Înger de baltă cu suliţa de papură."
"3641","E cu sufletul în rai."
"3642","Cu chei de aur şi de argint se deschid porţile raiului."
"3643","Cu vrajba şi cu urgia, raiul n-o să dobândeşti."
"3644","În zadar numai cu postul raiul vei nădăjdui."
